IMO number	1st name	/ nationality	owner	operator	completion year	shipyard	yard / hull number	engine design	engine type	power output (KW)	maximum speed (Kn)	overall length (m)	overall beam (m)	maximum draught (m)	maximum TEU capacity	container capacity at 14t (TEU)	reefer containers (TEU)	deadweight (ton)	gross tonnage (ton)	handling gear	exname 1	exname 2	exname 3	exname 4	exname 5	exname 6	exname 7	exname 8	exname 9
9393541	OPAL ADVANCE	Cyprus	Athena Marine		2009 / 08	Shandong Huanghai Shipyard, China	HYC0 57	B&W;	6S40ME-B	6.810	15,8	160,00	27,40	9,50	1571			25.700	16.800	3 x 120	OPAL ADVANCE-12								
9498468	AAL HONGKONG	Marshall Islands	Schller Holding	AAL	2013 / 07	Shandong Huanghai Shipyard, China	HCY 100	SUL	7RT-flex50	11.640	16,4	193,80	28,20	11,20	2029		145	31.000	25.000	2 x 350									
9498353	AAL SYDNEY	Marshall Islands	Schller Holding	AAL	2011 / 03	Shandong Huanghai Shipyard, China	HCY 094	SUL	7RT-flex50	11.640	16,4	193,80	28,20	11,20	2029		145	31.000	25.000	2 x 350									
9498444	AAL KOBE	Marshall Islands	Schller Holding	AAL	2012 / 11	Shandong Huanghai Shipyard, China	HCY 098	SUL	7RT-flex50	11.640	16,4	193,80	28,20	11,20	2029		145	31.000	25.000	2 x 350									
9498456	AAL MELBOURNE	Marshall Islands	Schller Holding	AAL	2013 / 03	Shandong Huanghai Shipyard, China	HCY 099	SUL	7RT-flex50	11.640	16,4	193,80	28,20	11,20	2029		145	31.000	25.000	2 x 350									
9521552	AAL NANJING	Singapore	Schller Holding	AAL	2012 / 03	Sekwang Shipyard, South Korea	129					149,00	22,00		1000			18.763	14.053	2x									
9498482	AAL NEWCASTLE	Marshall Islands	Schller Holding	AAL	2014 / 03	Shandong Huanghai Shipyard, China	HCY 102	SUL	7RT-flex50	11.640	16,4	193,80	28,20	11,20	2029		145	31.000	25.000	2 x 350									
9498389	AAL PUSAN	Marshall Islands	Schller Holding	AAL	2012 / 03	Shandong Huanghai Shipyard, China	HCY 097	SUL	7RT-flex50	11.640	16,4	193,80	28,20	11,20	2029		145	31.000	25.000	2 x 350									
9498377	AAL SHANGHAI	Marshall Islands	Schller Holding	AAL	2012 / 02	Shandong Huanghai Shipyard, China	HCY 096	SUL	7RT-flex50	11.640	16,4	193,80	28,20	11,20	2029		145	31.000	25.000	2 x 350									
9498365	AAL SINGAPORE	Marshall Islands	Schller Holding	AAL	2010 / 08	Shandong Huanghai Shipyard, China	HCY 095	SUL	7RT-flex50	11.640	16,4	193,80	28,20	11,20	2029		145	31.000	25.000	2 x 350									
9491496	AALDERDIJK	Germany	Navigia Shipmanagement BV		2011 / 07	Sainty Shipbuilding, China	07STIG141				20,0	168.0	26.0		1349			20.200	17.368	None									
9044748	AALSMEERGRACHT	Netherlands	The China Navigation Co	Swire		IHC Holland Dredgers, Nederlands	1198								679						TASMAN SPIRIT								
9402500	MOL ABILITY	Panama	Kowa Marine Service Co. Ltd	MOL	2006 / 09	Hakata Shipbuilding Co. Ltd., Japan	677	B&W;	7L42MC	9.989	19,5	144,50	23,20	9,0	1060	778	104	15.219	12.545	None									
8003060	JULIA DEL MAR	Lebanon	Telde S A		1981 / 00	Astillero Barreras S.A. Spain	1463	DEU	RSBV12M54	4.855	14,5	122,70	19,40	8,20	533		No Info	8.492	3.860	2 x 30	JULIA DEL MAR								
9379636	ABTIN 1	Iran	Valfajre Shipping		2008 / 10	Jinling Shipyard, China	04-0426	B&W;	7L458/64	9.730	19,6	147,80	23,50	8,50	1118	713	220	13.760	9.912	2 x 45									
9349667	IRAN ATRAK	Iran	Ogiaanous horoushan Shipping	IRISL	2008 / 03	Hyundai Heavy Industries Ltd. Co, South Korea	1822	B&W;	10K98ME	68.382	25,5	300,40	40,00	14,50	6622	4840	600	85.250	75.000	None	FIFTH OCEAN-08	DECKER-12	MERCEDES-12						
9111474	SOPHIE SCHULTE	Gibraltar	Dorchester Atlantic Marine	MSC	1996 / 12	Stocznia Szczecinska S.A., Poland	183/2/25	B&W;	6L50MC	6.930	17,0	162,80	22,30	8,30	1162	750	100	14.148	9.603	3 x 40	X-PRESS ANNAPURNA-01	SOPHIE SCHULTE-01	CMA CGM OYAPOCK-02	SOPHIE SCHULTE-03	MARFRET GUYANE-03	MOL FAITHFUL-09	MSC ACAPULCO-10		
9379571	MOL ACCLAIM	Panama	Kowa Marine Service Co Ltd	MOL	2006 / 02	Hakata Shipbuilding Co. Ltd., Japan	676	B&W;	7L42MC	9.989	19,5	144,50	23,20	9,0	1060	778	104	15.219	12.545	None									
9610169	ACHIEVER	Hong Kong	Delphis NV		2013 / 06	Hanjin Heavy Industries Co. Ltd. Subic Bay, Philippines	078	SUL	626160RT-Flex82C	26.160	21,5	228,00	37,30	12,50	3800			51.800	42.000	4 x 45									
7712365	HOLSTEN CRUISER	Singapore	Pan-United Shipping		1980 / 00	A.G. Weser Seebeckwerft, Germany	1017	MAK			16,5	159,40	23,00	8,00	934		50	14.200	8.777										
7618519	WORLD LION	Singapore	Callitsis Succes	Wan Hai	1978 / 00	Mie Shipyard Co. Ltd., Japan	178	PIL	18PC2-5V-400	8.606	16,0	153,00	23,00	8,70	754		90	13.588	11.314		SEA LEGEND-01								
8821802	ACHTERGRACHT	Netherlands	The China Navigation Co	Swire		Van Der Giessen-de Noord N.V., Netherlands	953								679														
9360611	ACX CRYSTAL	Singapore	Nippon Yusen Kaisha	NYK	2008 / 08	STX Shipbuilding Co. Ltd., South Korea	1240	B&W;	8K80MC-C	28.823	23,0	213,10	30,10	12,00	2858	1900	354	39.598	29.093	None									
9360609	ACX DIAMOND	Singapore	Nippon Yusen Kaisha	NYK	2008 / 05	STX Shipbuilding Co. Ltd., South Korea	1235	B&W;	8K80MC-C	28.823	23,0	213,10	30,10	12,00	2858	1900	354	39.598	29.093	None									
9159141	ACX HIBISCUS	Panama	Tosen Technology Co Ltd	ACX	1997	Kanasashi Shipbuilding Co. Ltd., Japan	3430	MIT	8UEC60LS	12.379	20,0	193,00	28,00	9,50	1675		100	24.581	18.502	None									
8914271	ACX LILY	Liberia	Nippon Yusen Kaisha	ACX	1990	Shin Kurushima Dockyard Co Ltd, Japan	2678	MIT	6UEC60LS	9530	19,1	184,50	27,60	10,10	1182		200	22.735	16.731	None									
9163441	NYK VIRGO	Panama	Nippon Yusen Kaisha	ACX	1997	Shin Kurushima Dockyard Co Ltd, Japan	2942	MIT	8EUC60	13.755	20,0	181,00	28,00	9,50	1613		206	24.386	18.600	3 x 40									
9360623	ACX PEARL	Panama	Nippon Yusen Kaisha	NYK	2008 / 09	STX Shipbuilding Co. Ltd., South Korea	1241	B&W;	8K80MC-C	28.823	23,0	213,10	30,10	12,00	2858	1900	354	39.598	29.093	None									
9168532	HEUNG-A HAKATA	Singapore	Wooil Marine		1997	Watanabe Shipbuilding Co. Ltd., Japan	304	B&W;	6L42MC	5.980	15,8	113,60	18,50	8,00	560		No Info	8.911	6.773	2 x 36	KANTAMA-07								
7907465	JAPAN APOLLO	Panama	Nippon Yusen Kaisha	NYK	1980 / 00	Ishikajima-Harima Heavy Industries Co. Ltd, Japan	2696	SUL	9RLA90	23.832	22,5	227,40	32,30	11,50	1939		No Info	36.022	32.654	None	CALIFORNIA ORION	HOTAKA MARU-07							
9429314	ADA S	Liberia	Schepers R & Co	CSAV	2009 / 07	Jiangsu Yangzijiang Shipbuilding Co. Ltd, China	2006 -731C	B&W;	6K80MCC	20.939	22,0	208,90	29,80	11,40	2504	1908	400	33.800	25.360	3 x 45									
9432115	ADAM ASNYK	Cyprus	China-Polish Shipping	CPS	2009 / 08	Cosco Dalian Shipyard, China	CSGD 001	SUL	7RT-flex60C	16.520	19,2	190,90	27,80	11,00	1850			30.430	24.436	2X320 2X50									
7802249	ADDIRIYAH	Saudi Arabia	United Arab Shipping Co	UASC	1979 / 00	Hyundai Heavy Industries Ltd. Co, South Korea	0113	B&W;	7K74EF	10.735	17,8	183,20	27,50	10,00	1612		96	24.272	20.525	None									
9303766	ADELHEID S	Antigua	Schepers R & Co	Emirates	2006 / 10	Hanjin Heavy Industries Co. Ltd., South Korea	150	B&W;	8K80MCC	28.880	22,4	222,50	32,20	12,00	3388	2542	300	44.053	35.581	None	EMIRATES KANAKO-06	TS DAMMAM-09	EMIRATES WASL-12						
9306079	ADELINA	Liberia	Doehle Peter Schiffahrts		2006 / 03	Jiangsu Yangzijiang Shipbuilding Co. Ltd, China	668C	SUL	7RT-flex60C	16.520	20,0	168,00	25,30	9,90	1579	1065	250	19.500	17.000	2 x 45	TS KEELUNG-11								
9124574	GERTRUD	Antigua	Draxl Manfred	EUCON	2001 / 12	Peene-Werft GmbH, Germany	457	MWM	TBD645L9	3.825	16,0	113,00	16,40	6,10	510		60	5.660	4.628	None									
9402512	MOL ADMIRATION	Panama	Kowa Marine Service Co. Ltd	MOL	2007 / 02	Hakata Shipbuilding Co. Ltd., Japan	678	B&W;	7L42MC	9.989	19,5	144,50	23,20	9,0	1060	778	104	15.219	12.545	None									
9123221	ADRIAN	Germany	Komrowski E	TMM	1997 / 06	Stocznia Szczecinska S.A., Poland	170/1/14	SUL	6RTA62U	13320	19,6	184,70	25,30	10,00	1728	1124	200	22.994	16.801	3 x 45	SANTA PAULA-98	TMM MANZANILLO-02	IVORY STAR-03	DELMAS TOURVILLE-03	TMM HIDALGO-09				
9260457	ADRIAN MAERSK	Denmark	Maersk Line	Maersk	2004 / 04	Odense Steel Shipyard AS, Denmark	189	SUL	12RTA96C	63.036	25,0	352,60	42,80	15,00	9310	7226	817	109.000	93.496	None									
9138161	KUO TING	Panama	Vroon BV	CNC-Line	1997	China Shipbuilding Corp. Kaohsiung Shipyard, Taiwan	653	B&W;	7S50MC	11.050	18,2	158,00	27,30	8,40	1471	1140	42	18.300	15.095	None									
8008292	ZIM IBERIA	Israel	ZIM Integrated Shipping	ZIM	1982 / 00	Van Der Giessen-de Noord N.V., Netherlands	924	SUL	10RND90M	25822	22,3	237,70	32,20	12,50	2314		140	39.967	36.263	None	ADRIATIC-97								
9152753	AENNE RICKMERS	Liberia	Rickmers & Cie	Hapag-Lloyd	1998 / 03	China Shipbuilding Corp. Kaohsiung Shipyard, Taiwan	661	B&W;	7S70MD	19.667	20,5	195,50	30,20	11,00	2230	1744	297	30.781	25.900	3 x 45	CONTSHIP ROME-05	CP ROME-06	KOTA MANIS-12						
8707434	VILLE DE NEPTUNE	Malta	Zim Integrated Shipping	ZIM	1987	Bremer Vulkan AG - Schiffbau, Germany	1076	B&W;	7L60MC	12.180	18,0	176,50	27,50	10,50	1743	1310	70	26.152	18.037	3 x 40	GLCKSBURG-94	CGM IGUACU II-96	CMBT HIMALAYA-97	P&O; NEDLLOYD CHILE-00	MSC QUIT0-02	GLCKSBURG-10	DELMAS CAPRICORNE-05		
9365661	AFRICABORG	Netherlands	Wagenborg Shipping Bv		2007 / 12	Hudong Zhonghua Shipbuilding Group, China		WAR	8L46B	7.800	18,0	143,00	21,50	9,70	962	640	60	17.323	11,894	3x 120	AFRICABORG-11	CCNI TOPOCALMA-12							
9365659	AMERICABORG	Netherlands	Wagenborg Shipping Bv		2007 / 06	Hudong Zhonghua Shipbuilding Group, China	H1391A	WAR	8L46B	7.800	18,0	143,00	21,50	9,70	962	640	60	17.323	11,894	3x 120									
9365661	AFRICABORG	Netherlands	Wagenborg Shipping Bv		2007 / 12	Hudong Zhonghua Shipbuilding Group, China		WAR	8L46B	7.800	18,0	143,00	21,50	9,70	962	640	60	17.323	11,894	3x 120	AFRICABORG-11	CCNI TOPOCALMA-12							
9425162	HELENE BRAREN	Gibraltar	Reederei Rrd Braren	BOCS	2011 / 03	Shandong Huanghai shipbuilding, China	HCY 064	B&W;	6S40ME-B	6.810	15,2	166,40	27,40	10,10	1642			28.450	17.000	3 x 40									
7724291	ROLAND DELMAS	Bahamas	Midocean IMO	CMA-CGM	1980 / 00	Stocznia Komuny Paryskiej	B484	SUL		12.806	18.,0	186,60	32,30	10,60				14.675	30.774	1 X 40	HOEGH BANNIERE -89	WOERMANN BANNIERE-90	HOEGH BANNIERE-91	SAINT ROPARZH-92	GRAND BEREBY-92	ROLAND DELMAS-11			
8918112	KAPITAN L. GOLUBEV	Belize	Sea Managment	NDAL	1992	Kvaerner Warnow-Werft GmbH, Germany	469	SUL	5RTA58	7.950	17,0	158,90	23,00	10,10	965	644	45	17.175	13.237	3 x 40	NEDLLOYD KARTAGENA-95	KAPITAN L. GOLUBEV-96	ISLA BARTOLOME-96	CSAV RAUTEN-97	KAPITAN L. GOLUBEV-97	WESTMINSTER BRIDGE-97	NDS PROTEUS-06		
9425174	SIMON BAREN	Gibraltar	Reederei Rrd Braren	BOCS	2011 / 03	Shandong Huanghai shipbuilding, China	HCY 065	B&W;	6S40ME-B	6.810	15,2	166,40	27,40	10,10	1642			28.450	17.000	3 x 40									
9423633	AFRICAN WIND	Gibraltar	Reederei Rrd Braren	BOCS	2010 / 06	Shandong Huanghai shipbuilding, China	HCY 063	B&W;	6S40ME-B	6.810	15,2	166,40	27,40	10,10	1642			28.450	17.000	3 x 40									
9315381	BUNGA SEROJA DUA	Liberia	Container carrier corporation	Maersk	2007 / 02	Daewoo Shipbuilding & Marine Engineering Ltd, South Korea	4112	SUL	12RT-flex96C	68.640	25,4	317,80	43,20	14,50	7920	6331	700	102.670	89.776	None	BUNGA SEROJA DUA-12								
9146302	ODER TRADER	Antigua	Eurobulk		1998 / 01	Stocznia Gdansk S.A., Poland	8145/01	SUL	6RTA72	17930	21,5	188,00	30,00	11,50	2078		250	30.360	23.540	3 x 45	MAERSK RIO GRANDE-99	CIELO D'AMERICA-02	ZIM LISABON I-03	ODER TRADER-05	MARUBA CATHAY-07	ODER TRADER-10			
9349605	FORTH OCEAN	Malta	Technomar Shipping Inc	MSC	2011 / 02	Hanjin Heavy Industries Co. Ltd., South Korea	183	B&W;	10K98MC	51.500	25,6	300,00	40,30	14,50	6572	4720		84.676	74.642	None									
8706129	EVER GLOWING	Taiwan	Technomar Shipping	Evergreen	1988 / 10	China Shipbuilding Corp. Kaohsiung Shipyard, Taiwan	350	SUL	7RTA76	18.948	20,8	269,00	32,20	11,60	3428	2700	195	53.274	46.551	None									
9400215	AGLAIA	Liberia	Doehle Peter Schiffahrts	USAC	2011	China Shipbuilding Corp. Kaohsiung Shipyard, Taiwan	937	SUL	7RT-flex96C	40.044	24,5	267,70	32,20	12,50	4250	2811	700	51.870	42.800	None		UASC ZAMZAM-12							
9289972	AGNES RICKMERS	Liberia	Rickmers & Cie		2005 / 06	Hanjin Heavy Industries Co. Ltd., South Korea	135	B&W;	9K90MCC	41.130	24,3	294,10	32,30	13,50	5060	3370	454	68.017	54.214	None	MAERSK DAESAN-13								
8122581	DELMAS DURVILLE	Cyprus	Saudi Arabia Shipping	CMA-CGM	1983 / 00	Mitsubishi Heavy Industries Ltd Shimonoseki, Japan	0846	SUL	8RND68M	11.181	17,5	169,50	27,30	8,9	720		50	22.351	17.280	3 x 26	DELMAS DURVILLE-02								
9406934	PACIFIC HAWK	Antigua	Bockstiegel Reederei		2008 / 10	Jinling Shipyard, China	04-0423	B&W;	7L458/64	9.730	19,6	147,80	23,50	8,50	1118	713	220	13.760	9.912	2 x 45	PACIFIC HAWK-12								
9139634	BESIRE KALKAVAN	Marshall Islands	Clou Shipping		1997 / 09	Sedef Shipbuilding Industry Inc., Turkey	110	B&W;	6L60MC	11.475	19,0	149,00	22,70	7,80	1150		232	12.184	9.978	2 x 40	CLOU OCEAN-06	BESIRE KALKAVAN-06	CLOU OCEAN-10	VENTO DI NORTADA-11					
9322889	SEDEF KALKAVAN	Marshall Islands	Kalkavan K		2006 / 07	Sedef Shipbuilding Industry Inc., Turkey	138	B&W;	6L60MC	11.475	19,0	149,00	22,70	7,80	1155		250	12.184	9.978	2 x 40									
9354337	AILA	Finland	OY Langh Ship	Langh Shipping	2007 / 03	J.J. Sietas KG Schiffswerft GmbH & Co., Germany	1231	MAK	9M43	8.400	17,7	141,10	22,50	8,70	907	585	204	11.500	8.885	None									
9525869	AIN SNAN	Malta	United Arab shipping	UASC	2012 / 01	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1877	B&W;	12K98ME-7	71.760	26,0	366,00	48,40	15,50	13296	9200	1.000	142.400	158.000	None									
9190822	BOX NEW YORK	Antigua	Scott Shipping managment		2000	Celik Tekne Shipyard, Turkey	27	MAK	6M601C	7.500	18,0	133,20	20,80	7,80	800		164	9.500	7.970	2 x 40	ALLIGATOR MANAUS-01	MOL MANAUS-01	BOW NEW YORK-02	BOX NEW YORK-04	PONGOLA-08				
9270804	JACKY RICKMERS	Marshall Islands	Rickmers & Cie	RCL	2005 / 04	Jiangsu Yangzijiang Shipbuilding Co. Ltd, China	633C	B&W;	6K80MCC	21.600	23,0	196,90	27,80	11,00	1850	1300	300	24.277	21.932	2 x 45	RITHI BHUM-09								
9315020	AKACIA	United Kingdom	Doehle Peter Schiffahrts	Unifeeder	2004 / 11	J.J. Sietas KG Schiffswerft GmbH & Co., Germany	1206	MAK	9M43	8.400	18,5	149,10	22,50	8,70	868	585	201	13.713	11.662	None	BALTIC SWAN-13								
9202900	PARVAT	Panama	Seachange Maritime	Yang Ming	1999	Iwagi Zosen K.K., Japan	186	B&W;	8S50MC	10.276	19,0	161,90	25,60	9,10	1005		150	17.791	13.235	2 x 35	CNC BANGKOK-08	MCC AKARI-09							
9491501	AKERDIJK	Netherlands	Navigia Shipmanagement BV		2012 / 01	Sainty Shipbuilding, China	07STIG142				20,0	168.0	26.0		1349			20.200	17.368	None									
9224532	AKINADA BRIDGE	Panama	Kawasaki Kisen Kaisha	K-Line	2001 / 11	Hyundai Heavy Industries Ltd. Co, South Korea	1346	B&W;	11K98MC	58.840	25,0	284,60	40,00	14,00	5610	4856	500	71.376	68.687	None									
8703397	CALIFORNIA SATURN	Hong Kong	Costamare Shipping	Hamburg Sd	1987	Imabari Shipbuilding Co. Ltd., Japan	1160	SUL	7RTA84M	24.200	22,0	249,90	32,30	11,50	3152		350	39.579	41.413	None	SATURN-	MSC PACIFIC-01	APL COSTA RICA-03	SAFMARINE IGOLI-07	CAP AKRITAS-10				
9154543	AL ABDALI	Kuwait	United Arab Shipping Co	UASC	1998 / 09	Mitsui Engineering & Shipbuilding Co. Ltd., Japan	1443	B&W;	10L80MC	34.348	24,1	276,50	32,20	12,50	3802	3026	360	49.993	48.154	None									
9349514	AL BAHIA	Kuwait	United Arab Shipping Co	UASC	2008 / 04	Hyundai Heavy Industries Ltd. Co, South Korea	1834	B&W;	10K98ME	68.382	25,5	305,40	40,00	14,50	6919	4898	486	85.437	75.579	None									
9573505	Al BAZM-II	Liberia	Abu Dhabi National Tanker Company	ADNTC	2011 / 03	Hyundai Mipo Dockyards Ltd. Co, South Korea	4051	B&W;	S35MC-7	5.920	16,0	149,50	22,80		1060			13.944	11.173	NONE									
9415997	AL BIDDA	Qatar	Qutar Natational Navigation	Qatar Nav.	2009 / 03	Daesun Shipbuilding & Engineering  Co Ltd, South Korea	487	B&W;	6S46MC-C	6.891	17,9	142,70	22,60	8,20	1049	655	180	12.400	9.850										
9259630	AL DHAKHIRA	Qatar	Qutar Natational Navigation	Qatar Nav.	2003 / 02	Daesun Shipbuilding & Engineering  Co Ltd, South Korea	442	B&W;	6S42MC	6.480	14,0	130,40	20,00	7,40	515		50	9.350	7.580	None									
9149756	AL FARAHIDI	Barain	United Arab Shipping Co	UASC	1998	Kawasaki Heavy Industries Ltd, Japan	1477	B&W;	10L80MC	34.348	24,1	276,50	32,20	12,50	3802	3040	360	49.993	48.134	None									
9349552	AL HILAL	Kuwait	United Arab Shipping Co	UASC	2008 / 09	Hyundai Heavy Industries Ltd. Co, South Korea	1838	B&W;	10K98ME	68.382	25,5	305,40	40,00	14,50	6919	4898	486	85.437	75.579	None									
8117237	AL IHSA'A	Kuwait	United Arab Shipping Co	UASC	1983 / 00	Hyundai Heavy Industries Ltd. Co, South Korea	0209	B&W;	6L80GFCA	13.534	19,7	211,50	32,30	11,30	2051		150	35.615	32.534	None									
9199775	AL KHOR	Qatar	Qutar Natational Navigation	Qatar Nav.	1999	Daesun Shipbuilding & Engineering  Co Ltd, South Korea	434	B&W;	7L32/40	3.360	14,0	111,20	17,30	6,40	411		30	6.272	4.388	None									
9349538	AL MANAMAH	Kuwait	United Arab Shipping Co	UASC	2008 / 06	Hyundai Heavy Industries Ltd. Co, South Korea	1836	B&W;	10K98ME	68.382	25,5	305,40	40,00	14,50	6919	4898	486	85.437	75.579	None									
8117304	AL MIRQAB	Kuwait	United Arab Shipping Co	UASC	1983 / 00	Hyundai Heavy Industries Ltd. Co, South Korea	0216	B&W;	6L80GFCA	13.534	19,7	211,50	32,30	11,30	2211		150	35.615	32.534	None									
9525924	AL QIBLA	Qutar	United Arab shipping	UASC	2012 / 03	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1883	B&W;	12K98MCC	71.760	26,0	366,00	48,40	15,50	13296	9200	1.000	142.400	158.000	None									
9152272	AL MUTANABBI	Barain	United Arab Shipping Co	UASC	1998 / 12	Mitsubishi Heavy Industries Ltd Nagasaki, Japan	2133	B&W;	10L80MC	34.348	24,1	276,50	32,20	12,50	3800	3464	360	49.844	48.154	None									
9349564	AL RAWDAH	Kuwait	United Arab Shipping Co	UASC	2008 / 10	Hyundai Heavy Industries Ltd. Co, South Korea	1839	B&W;	10K98ME	68.382	25,5	305,40	40,00	14,50	6919	4898	486	85.437	75.579	None									
9525912	AL RIFFA	Malta	United Arab shipping	UASC	2012 / 03	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1882	B&W;	12K98ME-7	71.760	26,0	366,00	48,40	15,50	13296	9200	1.000	142.400	158.000	None									
9416006	AL RUMEILA	Qatar	Qutar Natational Navigation	Qatar Nav.	2009 / 11	Daesun Shipbuilding & Engineering  Co Ltd, South Korea	488	B&W;	6S46MC-C	6.891	17,9	142,70	22,60	8,20	1049	655	180	12.400	9.850										
9574016	Al SADR-I	Liberia	Abu Dhabi National Tanker Company	ADNTC	2011 / 05	Hyundai Mipo Dockyards Ltd. Co, South Korea	4050	B&W;	S35MC-7	5.920	16,0	149,50	22,80		1060			13.944	11.173	NONE									
9349497	AL SAFAT	Kuwait	United Arab Shipping Co	UASC	2008 / 01	Hyundai Heavy Industries Ltd. Co, South Korea	1832	B&W;	10K98ME	68.382	25,5	305,40	40,00	14,50	6919	4898	486	85.437	75.579	None									
9259642	AL WAAB	Qatar	Qutar Natational Navigation	Qatar Nav.	2003	Daesun Shipbuilding & Engineering  Co Ltd, South Korea	443	B&W;	6S42MC	6.480	14,0	130,40	20,00	7,40	515		50	9.350	7.580	None									
8117251	AL-WAJBA	Qatar	United Arab Shipping Co	UASC	1983 / 00	Hyundai Heavy Industries Ltd. Co, South Korea	0211	B&W;	6L80GFCA	13.534	19,7	211,50	32,30	11,30	2195		150	35.615	32.534	None									
7802275	AL-WATTYAH	Kuwait	United Arab Shipping Co	UASC	1979 / 00	Hyundai Heavy Industries Ltd. Co, South Korea	0116	B&W;	7K74EF	10.735	17,8	187,20	27,50	10,00	1242		96	24.302	20.526	None									
9415985	AL YASRA	Qatar	Qutar Natational Navigation	Qatar Nav.	2009 / 04	Daesun Shipbuilding & Engineering  Co Ltd, South Korea	486	B&W;	6S46MC-C	6.891	17,9	142,70	22,60	8,20	1049	655	180	12.400	9.850										
9297589	ALANA	United Kingdom	Doehle Peter Schiffahrts	Unifeeder	2004 / 07	J.J. Sietas KG Schiffswerft GmbH & Co., Germany	1149	MAK	9M43	8.400	18,5	149,10	21,30	8,70	1008	720	238	13.740	11.622	None									
9041162	UNIVERSAL BAHANA	Malaysia	Majestic Enrich Shipping		1993	Meeres-Technik-Wismar, Germany	372	MAK	8M601	6.599	17,3	157,70	22,80	9,90	1066	755	100	12.800	10.868	2 x 40	SILVER DAWN-03	MUMBAI BAY	SILVER DAWN-03	MAERSK MELBOURNE	CAPE ANN-04	IBN BATTOTAH-08	CAPE ANN-09		
9260469	ALBERT MAERSK	Denmark	Maersk Line	Maersk	2004 / 08	Odense Steel Shipyard AS, Denmark	190	SUL	12RTA96C	63.036	25,0	352,60	42,80	15,00	9310	7226	817	109.735	93.496	None									
9152741	ALBERT RICKMERS	Liberia	Rickmers & Cie		1998  / 02	China Shipbuilding Corp. Kaohsiung Shipyard, Taiwan	660	B&W;	7S70MD	19.667	20,5	195,60	30,20	11,00	2230	1744	297	31.034	26.131	3 x 45	CONTSHIP WASHINGTON-02	DIRECT TUI-05	CP TUI-06	ALBERT RICKMERS-10					
9301990	CALA PIGAFETTA	Liberia	Reederei Zeppenfeld	CMA CGM	2008 / 03	Stocznia Szczecinska S.A., Poland	178/III/02	B&W;	7K80MC-C	26.270	22,5	211,00	32,20	12,20	2785	2170	432	37.125	31.980	3 x 45	MSC ANDES-12								
9349186	ALDEBARAN J	Antigua	Jngerhans & Co		2006 / 08	Detlef Hegemann Rolandwerft GmbH & Co. KG, Germany	231	MAK	8M43	7.200	18,4	139,60	22,20	7,40	974	584	170	10.986	8.246	None	RUTH BORCHARD-07	GRACECHURCH JUPITER-09							
